time,n,deltal,deltar,Vw,alpha_x,alpha_y,u,v,p,r,phi
0,653.193609288081,-0.000884106042745308,0.000104754096272386,2.75884237075418,-0.303257859882385,0.952908532032092,3.49062508471321,-0.00218656740081559,0.0,0.0,0.0
1,657.10381545376,0.0264092595047406,-0.0269749446229132,2.60861916332856,-0.298565307386544,0.954389206364562,3.4110680518159597,-0.10709110779139301,0.015276184158124,-0.0010644014394429698,0.00889428759805311
2,665.3270253732541,0.0414514782846672,-0.0389065358528635,2.7818207270068105,-0.293052647284468,0.9560963057765491,3.46368614275814,-0.0341106704581786,0.0104893224570793,0.00631121992775585,0.0250320467913103
3,671.134380482575,0.044967029160732,-0.047031788379627,2.73197148716787,-0.28624823457093296,0.9581554927072242,3.4822232577414103,-0.0253165753535173,-0.0213092676612247,0.00530368490498656,0.0192670002270572
4,669.976507059809,0.0474819585063432,-0.0475690638576872,2.43659552724489,-0.28046760262456,0.959863492314419,3.6460038413139397,0.12950897994183,0.0016717381056104,-0.000348347998898419,0.00308747461248338
5,667.397470834561,0.048122336304343,-0.04857484643160599,2.76500550410923,-0.256048001092982,0.966664068400335,3.58631121602835,0.0676034290245459,0.0249070997444278,0.00155364787582388,0.022249757740096004
6,668.328466189109,0.0465442324883948,-0.0490644167243378,2.66757417274087,-0.269305557215899,0.963054783931129,3.70180994721077,0.142342685499515,-0.00162754715967137,0.0012986126749954,0.0358379876691735
7,671.212090918131,0.0472281216461959,-0.047963624513547,2.68403294087705,-0.282506928718388,0.959265258010579,3.6927729400442897,0.14737658618804597,-0.0349321635018551,0.0101819185087838,0.0163863658520951
8,673.638388550553,0.0477531002379183,-0.0481961645187561,2.54313832621427,-0.282603942449352,0.959236681800734,3.60703790185304,0.10436039940984,-0.0235157283542369,0.0107654910843006,-0.0179272452344224
9,677.047430820894,0.0479827482257614,-0.04667177151133,2.7805062042217004,-0.29123050175411197,0.9566529124233351,3.52481983117069,0.0194275376898242,0.0154419973312433,0.005044888543009479,-0.0219154816619884
10,669.255219894699,0.0493943816909748,-0.048488052066947,2.66722932448682,-0.257214999422132,0.966354202180687,3.65169834692215,0.100001956127348,0.0430695272591709,-0.00255797396802907,0.0088524973759232
