time,n,deltal,deltar,Vw,alpha_x,alpha_y,u,v,p,r,phi
0,1612.0253497671802,0.00024228732914450898,0.0018602055573966301,3.7385356035883497,-0.155828441039923,-0.987784134800244,8.85272182527808,-0.14487923980914402,0.0,0.0,0.0
1,1607.03563543516,0.0257550530047488,-0.0249194299707842,3.74338267961945,-0.160788482117723,-0.9869888874846959,9.06904513898903,0.0324646042292808,-0.060069024451062006,-0.00268005268036262,-0.0346732791749798
2,1595.9551021320199,0.0384376751303662,-0.0396988404313549,3.74770513608164,-0.159738888889273,-0.9871593019246792,8.99305263792533,-0.0728075726175747,-0.0609377808248584,-0.00219468487057592,-0.101104377536378
3,1582.70396206811,0.0458176733934505,-0.0462947187019621,3.83692407836105,-0.144328579868804,-0.989529818162674,8.860692389453039,-0.20259448375869896,0.00503342492834356,-0.00295386121727003,-0.13226655578846802
4,1575.8892015665801,0.0484811637524513,-0.0484620930857111,3.7068740465674703,-0.129590979852374,-0.9915675357437339,8.85375953179649,-0.207389532726909,0.0503036599780717,-0.000591636643176467,-0.0991515772542706
5,1564.50709807921,0.047654053582039,-0.0481692129073376,3.7723832461035602,-0.155223224144484,-0.987879421126987,8.895702492307661,-0.190274698860576,0.0532833645782044,-0.00497946256456045,-0.0438783941787082
6,1556.0641543783,0.0487317598686679,-0.0496810795941868,3.5384301115547,-0.15664819708434302,-0.9876544650586179,8.92804955447334,-0.155626882415229,0.0145146741113454,-0.00511560911846028,-0.00660300735259023
7,1548.6897443821301,0.0467868033247677,-0.0484939999724319,3.70633030989961,-0.14716054277911403,-0.989112619800676,8.86517687403439,-0.18267122811748499,-0.0292776754968898,-0.00076544587206344,-0.0160949607783731
8,1538.7908347570199,0.048107178906574996,-0.0467083421720054,3.4654269809429503,-0.18430810680444798,-0.9828685170286819,8.93364396245266,-0.0720645916872457,-0.0541523282792675,0.00317868329434459,-0.0588857442797734
9,1527.2083595916502,0.0480519012121655,-0.0480877893878416,3.46775264838278,-0.18460836194752697,-0.9828121655225129,8.72355731978035,-0.254850882513512,-0.0405665128018285,0.00502624033964672,-0.10966496261495
10,1518.64411554778,0.0493192663140899,-0.0486738959830759,3.60137454780385,-0.185440847217543,-0.982655429020386,8.581678960854031,-0.401575537855622,-0.00706838205683153,0.00341501005041916,-0.134029635080434
11,1520.9576794626998,0.0496405444659747,-0.0473434130387417,3.6198020660345,-0.16105192367844,-0.986945934628374,8.733879498764269,-0.27495556839010804,0.0509466087181743,-0.00374841371449357,-0.11743583537874401
12,1520.92879553006,0.0498693288910093,-0.0489875493120726,3.58130426114106,-0.139791958047871,-0.990180896839129,8.513391180500719,-0.4620124784707271,0.0749398597182498,0.00521482511030698,-0.043268373378468
13,1520.8607233111802,0.0500051029565931,-0.048310134401711,3.65523274495612,-0.137529561616225,-0.990497662633107,8.61277076601035,-0.35710497001654207,-0.0131321263458677,0.00493657455121562,-0.0106314124928901
14,1518.71308050262,0.048699072601405,-0.0476143081831239,3.62780172078737,-0.123613090027245,-0.992330491305148,8.61432741718684,-0.305250451961721,-0.037765674274727996,0.0013641413931484699,-0.0406782588449421
15,1525.0464399442499,0.0477621265336151,-0.0499536914422435,3.45029037341574,-0.119487267073751,-0.99283573314383,8.62610435055777,-0.304758803222834,-0.0414657053517605,-0.000890780123243334,-0.0818473934357962
16,1513.1455443544598,0.0481332189264098,-0.0475712181194207,3.6785682720593704,-0.11816248037469,-0.99299427401758,8.61488327956523,-0.315646225566675,-0.00983841414643617,0.0015790892511900801,-0.111110296685704
17,1519.1402351760198,0.0471843915389919,-0.0505569342716648,3.67015503430512,-0.11085883817307,-0.993836162553425,8.6137974524668,-0.295077223469521,0.0251290827182569,0.00527289432609561,-0.101790601977039
18,1514.25773762141,0.0475146108790682,-0.048774963661012,3.694558226465,-0.112846914601586,-0.9936123861269559,8.61094635540258,-0.30320682650245,0.0379113230562407,0.00158237491583188,-0.0691089580143802
