time,n,deltal,deltar,Vw,alpha_x,alpha_y,u,v,p,r,phi
0,879.792612318503,-0.0006140535757559071,0.000978833909387478,0.7859616027182041,-0.699417508094463,0.7147133337016541,4.75135374345112,-0.0649555601161478,0.0,0.0,0.0
1,887.4348357206,0.0246074510273444,-0.0252610236302418,0.938770504967227,-0.68316071744373,0.73026805636134,4.7952893831631105,-0.0252543263701295,0.0151577262922682,0.00158904488179367,0.0090456710641984
2,901.363531155254,0.0399949252699002,-0.040621181963147006,1.04169814018348,-0.668808576153888,0.7434346564850259,4.922488120611679,0.10032506225109801,0.0102127615739253,0.0042250098104015,0.0226233770050364
3,914.039593346772,0.0450777856806814,-0.0446049366556405,1.0296399196605401,-0.671612440278438,0.7409026454691879,4.93200914397989,0.11261529389995698,-0.00202243542602038,0.0061158133564747,0.0273794435206423
4,919.8713095808549,0.0473586945054146,-0.0482154560780486,0.974227315367265,-0.656961175341751,0.753924408739752,4.68466598241075,-0.13990457684307198,-0.00794350408663692,0.005616991468463971,0.0213383249667025
5,926.291845610997,0.0493515065264333,-0.0475163530941662,1.2327313480383202,-0.635321351012687,0.772247875327225,4.60288313473103,-0.240958342039267,-0.0038474940075427,0.004263722327116671,0.0145973339025169
6,949.046840472256,0.0480121380658412,-0.0496962725293677,1.2111699050311497,-0.6212158172292149,0.783639527094083,4.87422019711017,0.0136085705311305,0.0039917028611916395,0.00551643813084595,0.0150573303971817
7,943.6035051186801,0.0504988910780007,-0.0501040889904572,1.15675937103222,-0.60083650099748,0.7993719403813879,4.84527117264444,-0.0265273773951717,-0.0006708252865628639,0.0076670504886006,0.0170493528191469
8,956.3471247773441,0.0474344890047967,-0.0482248490561185,1.3059262991822,-0.589569816412822,0.807717420621192,5.05272231798356,0.171655884624551,-0.00278303411550868,0.0067551804454933,0.0147858851236955
9,970.375410060588,0.0470074417040028,-0.049795357298711,1.17347420743451,-0.593440755187564,0.8048776739868079,4.89958878854716,-0.004520414577902939,0.00449373853819105,0.00450944192199738,0.0154802835188592
10,982.9535288109489,0.0495816013348325,-0.04897688406229401,0.9839014893621859,-0.554270571035179,0.832336550972223,4.90855676132666,-0.0248657074668441,0.007178338670992421,0.0046003130449479,0.0210433164416211
11,992.173288950818,0.048731802150083,-0.0485694587422641,1.25065480956387,-0.550736704676412,0.8346790294012221,5.06716785691062,0.105405800150051,0.0053341659563319,0.00552521056777261,0.0282178256465322
12,1005.60892872131,0.0491605246108712,-0.0487650029038747,1.22589021837045,-0.59732916744629,0.8019961756254959,4.932886613518719,-0.0609528404440693,-0.00197657814187553,0.0054862537088101,0.029733921559711
