time,n,deltal,deltar,Vw,alpha_x,alpha_y,u,v,p,r,phi
0,1049.0109150229302,-0.0018934156101081399,0.0016824570891515699,2.3792833313859303,-0.937452289735437,-0.348113780924838,5.77705463857754,0.007762826861600659,0.0,0.0,0.0
1,1062.5717689629598,0.0266916818169864,-0.0248178557267014,2.22097001321658,-0.950293153748011,-0.31135658326050897,5.87121234759976,0.108811945626584,-0.00945237319510464,-0.00183616199486292,-0.00523302539823955
2,1065.18296487906,0.0403543341983067,-0.0401908700993284,2.3712925157343503,-0.9270291810381651,-0.374989196515991,5.84248106107342,0.0828792929679142,-0.0105594629266806,-0.00329137059646377,-0.0160151656616887
3,1075.52475500371,0.0461348310173716,-0.0453771298846394,2.42401780327758,-0.936014638368771,-0.351961072789846,5.52620972339987,-0.23531365628345396,-0.0041842252080344,-0.00437965897056935,-0.0238211268214279
4,1088.65010569826,0.0477390926325497,-0.0478135790865286,2.59720184796057,-0.912666997270734,-0.40870399079630004,5.97919442743749,0.21124165575003198,0.0042103761360183295,-0.00546056069277569,-0.0237158303634408
5,1096.41135243089,0.0463436976780551,-0.0478521755541801,2.6886562010121,-0.927392861161894,-0.374088867872269,5.704053066471291,-0.0774370885227916,0.00900978699422068,-0.00682998591099709,-0.0166234714982001
6,1109.46800028509,0.0471946685681074,-0.0484545589599673,2.51028758055404,-0.914016138594891,-0.40567782585209794,5.72403758359506,-0.0734849406402317,0.00839942609424959,-0.007872576624965391,-0.00743554371649813
7,1119.47865189632,0.04857859471772799,-0.0503169851996674,2.54020071807965,-0.922616446004663,-0.385718671523334,5.7894241514884905,-0.0261213628957468,0.00269481957558983,-0.00823875546243845,-0.00154485738436394
8,1127.77640735524,0.0479490413912999,-0.050167528281256,2.37250450139953,-0.922356083464085,-0.38634085377655,5.965351398645071,0.13028945660603097,-0.00538938429514295,-0.00782298368072579,-0.00286094990045527
9,1142.44811279586,0.0478207131879053,-0.0479856268912659,2.2669561567007404,-0.8939509052402229,-0.44816490159335903,5.7446135391781,-0.11246241877444399,-0.0113611667235904,-0.00710163676886915,-0.011632068420746001
10,1147.4769887898199,0.0494821388475468,-0.0490343588335036,2.4121647263897,-0.9002486837590091,-0.435376052844172,5.871431219196559,-0.0117262724239325,-0.0103957194368412,-0.006902931642373921,-0.0232370981799641
11,1156.5096208083999,0.0488135579423807,-0.0474004778158662,2.32050413080952,-0.902127561218278,-0.43146942335507604,5.89747928858763,-0.0169735637968891,-0.00111082582448811,-0.007403057365680759,-0.0295225638349907
12,1165.51622468502,0.0477506149973009,-0.0497346600698705,2.3248377263687203,-0.9159438882995649,-0.40130635864221503,5.89615244325912,-0.0521466619163738,0.00987102301083999,-0.00801341131111549,-0.0248617102585151
13,1181.00580381612,0.0486126230469556,-0.047721934930057,2.2364782871845095,-0.9094448758889058,-0.415824503510089,5.90957000261319,-0.0728837786497186,0.0137724903797228,-0.00852652194751783,-0.0122118615217786
14,1184.27427796029,0.0481161892682805,-0.0476882968732446,2.31737049334988,-0.91156272412719,-0.4111610389881521,6.172826334373549,0.15655417561433801,0.00800351443207975,-0.00872972294330207,-0.000633905282217295
15,1196.13057861567,0.0482586097800788,-0.0473496621243437,2.06627065026471,-0.9221383777562561,-0.38686019731817795,6.23107805408301,0.180626132451802,-0.00253227011891484,-0.008568498153955209,0.0021760425212669103
16,1206.02578243476,0.0478486246041303,-0.047951920851119004,2.34907174293951,-0.9244286771395509,-0.38135498014582203,5.99716042753666,-0.0904268013841082,-0.010521608369531999,-0.00800018168769986,-0.0048097354670875204
17,1217.2569872596,0.0493530855938839,-0.0493380687106444,2.13834481429102,-0.9191055220194309,-0.39401147114441903,6.17429791013683,0.0462118776063653,-0.0119914246171406,-0.0072730354031379,-0.0166732966735399
